beds,bath,type,place,city,area_sqrt,price_bdt,price_per_sqft
2,2,Apartment,Mirpur,Dhaka,600.0,11000.0,18.333333333333332
3,2,Apartment,Mirpur,Dhaka,900.0,14000.0,15.555555555555555
3,3,Apartment,Mirpur,Dhaka,2200.0,50000.0,22.727272727272727
2,2,Apartment,Double Mooring,Chittagong,850.0,12000.0,14.117647058823529
3,3,Apartment,Uttara,Dhaka,1300.0,20000.0,15.384615384615385
2,2,Apartment,Halishahar,Chittagong,1000.0,11000.0,11.0
2,2,Apartment,Uttara,Dhaka,900.0,20000.0,22.22222222222222
3,2,Apartment,Double Mooring,Chittagong,1300.0,18000.0,13.846153846153847
3,2,Apartment,Double Mooring,Chittagong,1300.0,18000.0,13.846153846153847
2,2,Apartment,Double Mooring,Chittagong,1050.0,13000.0,12.380952380952381
3,3,Apartment,Uttara,Dhaka,1500.0,20000.0,13.333333333333334
2,2,Apartment,Double Mooring,Chittagong,1065.0,16000.0,15.023474178403756
3,3,Apartment,Mirpur,Dhaka,1150.0,13000.0,11.304347826086957
2,2,Apartment,Double Mooring,Chittagong,1065.0,14000.0,13.145539906103286
3,3,Apartment,11 No. South Kattali Ward,Chittagong,1250.0,14500.0,11.6
2,2,Apartment,Double Mooring,Chittagong,950.0,10000.0,10.526315789473685
3,4,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
2,2,Apartment,Mohammadpur,Dhaka,720.0,15000.0,20.833333333333332
3,3,Apartment,Mirpur,Dhaka,1500.0,16000.0,10.666666666666666
3,4,Apartment,Uttara,Dhaka,1654.0,14000.0,8.464328899637243
2,2,Apartment,Double Mooring,Chittagong,770.0,13000.0,16.883116883116884
3,3,Apartment,Double Mooring,Chittagong,1750.0,25000.0,14.285714285714286
3,3,Apartment,Double Mooring,Chittagong,1750.0,25000.0,14.285714285714286
2,2,Apartment,Double Mooring,Chittagong,770.0,10000.0,12.987012987012987
3,3,Apartment,9 No. North Pahartali Ward,Chittagong,1150.0,16000.0,13.91304347826087
2,2,Apartment,Bayazid,Chittagong,800.0,11000.0,13.75
2,2,Apartment,7 No. West Sholoshohor Ward,Chittagong,850.0,10000.0,11.764705882352942
2,2,Apartment,7 No. West Sholoshohor Ward,Chittagong,850.0,9000.0,10.588235294117647
3,3,Apartment,Khulshi,Chittagong,1300.0,25000.0,19.23076923076923
3,3,Apartment,Double Mooring,Chittagong,1125.0,18000.0,16.0
3,3,Apartment,Double Mooring,Chittagong,1125.0,18000.0,16.0
2,1,Apartment,Dakshin Khan,Dhaka,850.0,15000.0,17.647058823529413
2,2,Apartment,Bayazid,Chittagong,800.0,11000.0,13.75
2,2,Apartment,Double Mooring,Chittagong,850.0,12000.0,14.117647058823529
3,4,Apartment,Double Mooring,Chittagong,1125.0,18000.0,16.0
3,2,Apartment,Double Mooring,Chittagong,1065.0,16000.0,15.023474178403756
3,3,Apartment,Uttara,Dhaka,1645.0,15000.0,9.118541033434651
3,3,Apartment,Uttara,Dhaka,1400.0,26000.0,18.571428571428573
3,3,Apartment,11 No. South Kattali Ward,Chittagong,1200.0,20500.0,17.083333333333332
3,3,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
3,4,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
3,4,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
2,2,Apartment,Uttara,Dhaka,850.0,22000.0,25.88235294117647
2,2,Apartment,Double Mooring,Chittagong,840.0,15500.0,18.452380952380953
1,1,Apartment,Double Mooring,Chittagong,600.0,13000.0,21.666666666666668
3,3,Apartment,Mirpur,Dhaka,1255.0,18000.0,14.342629482071713
3,3,Apartment,Mirpur,Dhaka,1255.0,18000.0,14.342629482071713
3,3,Apartment,7 No. West Sholoshohor Ward,Chittagong,1350.0,15000.0,11.11111111111111
1,1,Apartment,Double Mooring,Chittagong,500.0,10500.0,21.0
3,3,Apartment,Double Mooring,Chittagong,1300.0,25000.0,19.23076923076923
3,3,Apartment,Double Mooring,Chittagong,1300.0,18000.0,13.846153846153847
2,1,Apartment,Double Mooring,Chittagong,730.0,10000.0,13.698630136986301
3,3,Apartment,Double Mooring,Chittagong,1200.0,16000.0,13.333333333333334
3,3,Apartment,Double Mooring,Chittagong,1200.0,16000.0,13.333333333333334
3,3,Apartment,Mirpur,Dhaka,1200.0,20000.0,16.666666666666668
3,3,Apartment,Bayazid,Chittagong,1200.0,15000.0,12.5
2,2,Apartment,10 No. North Kattali Ward,Chittagong,780.0,10500.0,13.461538461538462
2,2,Apartment,10 No. North Kattali Ward,Chittagong,750.0,11000.0,14.666666666666666
3,3,Apartment,Uttara,Dhaka,1365.0,18000.0,13.186813186813186
3,2,Apartment,Bayazid,Chittagong,1000.0,11500.0,11.5
2,2,Apartment,10 No. North Kattali Ward,Chittagong,775.0,11000.0,14.193548387096774
2,3,Apartment,Bayazid,Chittagong,850.0,14000.0,16.470588235294116
3,3,Apartment,Gulshan,Dhaka,2300.0,90000.0,39.130434782608695
3,3,Apartment,Double Mooring,Chittagong,1200.0,18000.0,15.0
2,1,Apartment,7 No. West Sholoshohor Ward,Chittagong,800.0,10000.0,12.5
3,3,Apartment,Double Mooring,Chittagong,1100.0,13000.0,11.818181818181818
2,2,Apartment,11 No. South Kattali Ward,Chittagong,1000.0,12000.0,12.0
2,2,Apartment,Bayazid,Chittagong,800.0,12000.0,15.0
3,3,Apartment,Mirpur,Dhaka,1200.0,20000.0,16.666666666666668
2,2,Apartment,Shyamoli,Dhaka,700.0,15000.0,21.428571428571427
3,3,Apartment,Aftab Nagar,Dhaka,1600.0,24000.0,15.0
3,3,Apartment,Dhanmondi,Dhaka,1700.0,42000.0,24.705882352941178
2,2,Apartment,Nikunja,Dhaka,750.0,20000.0,26.666666666666668
3,4,Apartment,7 No. West Sholoshohor Ward,Chittagong,1800.0,27000.0,15.0
2,2,Apartment,Double Mooring,Chittagong,900.0,11000.0,12.222222222222221
2,2,Apartment,Cantonment,Dhaka,650.0,11500.0,17.692307692307693
2,2,Apartment,Mohammadpur,Dhaka,1040.0,25000.0,24.03846153846154
4,4,Apartment,Gulshan,Dhaka,2700.0,100000.0,37.03703703703704
2,2,Apartment,11 No. South Kattali Ward,Chittagong,700.0,10500.0,15.0
2,2,Apartment,Uttara,Dhaka,850.0,20000.0,23.529411764705884
1,1,Apartment,Uttara,Dhaka,400.0,15000.0,37.5
3,3,Apartment,11 No. South Kattali Ward,Chittagong,1100.0,22000.0,20.0
1,1,Apartment,New Market,Dhaka,550.0,16000.0,29.09090909090909
2,2,Apartment,Double Mooring,Chittagong,900.0,11000.0,12.222222222222221
2,2,Apartment,Nikunja,Dhaka,720.0,18000.0,25.0
2,2,Apartment,Halishahar,Chittagong,1000.0,12000.0,12.0
3,3,Apartment,Mirpur,Dhaka,1250.0,21000.0,16.8
2,2,Apartment,Mirpur,Dhaka,650.0,12500.0,19.23076923076923
3,3,Apartment,Agargaon,Dhaka,1200.0,20000.0,16.666666666666668
3,2,Apartment,Malibagh,Dhaka,900.0,18000.0,20.0
2,1,Apartment,Malibagh,Dhaka,550.0,13000.0,23.636363636363637
3,3,Apartment,Agargaon,Dhaka,1250.0,20000.0,16.0
2,1,Apartment,Malibagh,Dhaka,550.0,13000.0,23.636363636363637
3,3,Apartment,Agargaon,Dhaka,1250.0,20000.0,16.0
3,3,Apartment,Rampura,Dhaka,1035.0,20000.0,19.32367149758454
2,2,Apartment,Dakshin Khan,Dhaka,700.0,12000.0,17.142857142857142
3,3,Apartment,Bayazid,Chittagong,1100.0,20000.0,18.181818181818183
3,3,Apartment,Mirpur,Dhaka,1250.0,21000.0,16.8
3,3,Apartment,Mirpur,Dhaka,1050.0,16000.0,15.238095238095237
3,3,Apartment,Agargaon,Dhaka,1580.0,23000.0,14.556962025316455
3,3,Apartment,Agargaon,Dhaka,1580.0,23000.0,14.556962025316455
4,3,Apartment,9 No. North Pahartali Ward,Chittagong,2100.0,25000.0,11.904761904761905
2,2,Apartment,Uttara,Dhaka,800.0,18000.0,22.5
2,2,Apartment,Nikunja,Dhaka,720.0,17000.0,23.61111111111111
2,3,Apartment,Bayazid,Chittagong,1200.0,11000.0,9.166666666666666
3,3,Apartment,Muradpur,Chittagong,2200.0,26000.0,11.818181818181818
3,3,Apartment,Agargaon,Dhaka,1030.0,20000.0,19.41747572815534
3,3,Apartment,Adabor,Dhaka,1015.0,18000.0,17.733990147783253
3,4,Apartment,Uttara,Dhaka,1400.0,20000.0,14.285714285714286
2,3,Apartment,New Market,Dhaka,1000.0,23000.0,23.0
2,2,Apartment,Double Mooring,Chittagong,900.0,14000.0,15.555555555555555
3,3,Apartment,Bashundhara R-A,Dhaka,1200.0,30000.0,25.0
3,3,Apartment,Bashundhara R-A,Dhaka,1200.0,30000.0,25.0
4,3,Apartment,Uttara,Dhaka,2100.0,45000.0,21.428571428571427
3,3,Apartment,Shegunbagicha,Dhaka,1500.0,35000.0,23.333333333333332
3,3,Apartment,other,Dhaka,1250.0,30000.0,24.0
2,2,Apartment,Uttara,Dhaka,900.0,20000.0,22.22222222222222
3,3,Apartment,Bashundhara R-A,Dhaka,1500.0,30000.0,20.0
3,2,Apartment,Agargaon,Dhaka,900.0,18000.0,20.0
3,3,Apartment,Gulshan,Dhaka,2500.0,100000.0,40.0
4,3,Apartment,Malibagh,Dhaka,1500.0,25000.0,16.666666666666668
3,3,Apartment,Uttara,Dhaka,1700.0,27000.0,15.882352941176471
3,2,Apartment,Double Mooring,Chittagong,1250.0,12500.0,10.0
3,3,Apartment,Uttara,Dhaka,1400.0,26000.0,18.571428571428573
3,3,Apartment,Uttara,Dhaka,1500.0,35000.0,23.333333333333332
3,2,Apartment,Muradpur,Chittagong,1450.0,23000.0,15.862068965517242
2,2,Apartment,Adabor,Dhaka,850.0,15000.0,17.647058823529413
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Motijheel,Dhaka,1365.0,35000.0,25.641025641025642
2,2,Apartment,Badda,Dhaka,800.0,20000.0,25.0
3,3,Apartment,Bayazid,Chittagong,1100.0,20000.0,18.181818181818183
3,2,Apartment,Badda,Dhaka,950.0,18000.0,18.94736842105263
1,1,Apartment,Badda,Dhaka,400.0,10000.0,25.0
3,4,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
2,2,Apartment,7 No. West Sholoshohor Ward,Chittagong,850.0,16000.0,18.823529411764707
4,4,Apartment,Baridhara,Dhaka,3000.0,140000.0,46.666666666666664
4,4,Apartment,Baridhara,Dhaka,3000.0,130000.0,43.333333333333336
2,2,Apartment,Bayazid,Chittagong,850.0,10500.0,12.352941176470589
3,2,Apartment,Badda,Dhaka,1050.0,15000.0,14.285714285714286
3,2,Apartment,Badda,Dhaka,1000.0,25000.0,25.0
3,3,Apartment,Bashundhara R-A,Dhaka,1400.0,27000.0,19.285714285714285
3,3,Apartment,Uttara,Dhaka,1510.0,30000.0,19.867549668874172
3,3,Apartment,Khilgaon,Dhaka,1080.0,22000.0,20.37037037037037
2,2,Apartment,Nikunja,Dhaka,750.0,20000.0,26.666666666666668
3,3,Apartment,Badda,Dhaka,1253.0,30000.0,23.942537909018355
3,3,Apartment,Khulshi,Chittagong,1800.0,25000.0,13.88888888888889
2,2,Apartment,other,Chittagong,800.0,16000.0,20.0
3,3,Apartment,Badda,Dhaka,1325.0,22000.0,16.60377358490566
2,2,Apartment,Bakalia,Chittagong,950.0,13000.0,13.68421052631579
3,4,Apartment,15 No. Bagmoniram Ward,Chittagong,1600.0,30000.0,18.75
3,4,Apartment,15 No. Bagmoniram Ward,Chittagong,2250.0,35000.0,15.555555555555555
3,3,Apartment,Double Mooring,Chittagong,1300.0,16000.0,12.307692307692308
3,3,Apartment,Aftab Nagar,Dhaka,1600.0,24000.0,15.0
3,4,Apartment,Khulshi,Chittagong,1900.0,45000.0,23.68421052631579
2,2,Apartment,Nikunja,Dhaka,720.0,17000.0,23.61111111111111
3,3,Apartment,30 No. East Madarbari Ward,Chittagong,1200.0,26000.0,21.666666666666668
2,2,Apartment,Uttara,Dhaka,900.0,19000.0,21.11111111111111
3,3,Apartment,Badda,Dhaka,1200.0,22000.0,18.333333333333332
3,3,Apartment,other,Dhaka,1600.0,35000.0,21.875
3,3,Apartment,Uttara,Dhaka,1900.0,50000.0,26.31578947368421
3,3,Apartment,Uttara,Dhaka,1900.0,50000.0,26.31578947368421
3,3,Apartment,4 No Chandgaon Ward,Chittagong,1250.0,24000.0,19.2
2,2,Apartment,Double Mooring,Chittagong,900.0,15000.0,16.666666666666668
3,2,Apartment,Uttara,Dhaka,1200.0,18000.0,15.0
3,4,Apartment,Uttara,Dhaka,1700.0,40000.0,23.529411764705884
3,2,Apartment,Dakshin Khan,Dhaka,1100.0,15000.0,13.636363636363637
2,2,Apartment,11 No. South Kattali Ward,Chittagong,700.0,12500.0,17.857142857142858
2,3,Apartment,11 No. South Kattali Ward,Chittagong,1200.0,12000.0,10.0
3,3,Apartment,11 No. South Kattali Ward,Chittagong,1300.0,16500.0,12.692307692307692
3,3,Apartment,Uttara,Dhaka,1300.0,35000.0,26.923076923076923
2,2,Apartment,Bayazid,Chittagong,850.0,10000.0,11.764705882352942
3,3,Apartment,Khulshi,Chittagong,1600.0,25000.0,15.625
2,2,Apartment,other,Chittagong,800.0,14000.0,17.5
3,3,Apartment,Agargaon,Dhaka,1500.0,25000.0,16.666666666666668
3,3,Apartment,Agargaon,Dhaka,1200.0,20000.0,16.666666666666668
2,1,Apartment,Rampura,Dhaka,600.0,14000.0,23.333333333333332
3,3,Apartment,Agargaon,Dhaka,1500.0,25000.0,16.666666666666668
2,2,Apartment,Double Mooring,Chittagong,900.0,12000.0,13.333333333333334
3,3,Apartment,Shegunbagicha,Dhaka,1250.0,35000.0,28.0
3,3,Apartment,Dakshin Khan,Dhaka,1650.0,18000.0,10.909090909090908
1,1,Apartment,Bayazid,Chittagong,600.0,10000.0,16.666666666666668
2,2,Apartment,9 No. North Pahartali Ward,Chittagong,850.0,11500.0,13.529411764705882
2,2,Apartment,Banasree,Dhaka,800.0,20000.0,25.0
3,2,Apartment,Bashabo,Dhaka,1300.0,17000.0,13.076923076923077
3,3,Apartment,Agargaon,Dhaka,1200.0,20000.0,16.666666666666668
2,2,Apartment,Khulshi,Chittagong,1500.0,50000.0,33.333333333333336
3,2,Apartment,Mirpur,Dhaka,1000.0,15000.0,15.0
3,3,Apartment,Badda,Dhaka,950.0,20000.0,21.05263157894737
2,2,Apartment,Mirpur,Dhaka,900.0,13500.0,15.0
2,2,Apartment,Mirpur,Dhaka,900.0,12000.0,13.333333333333334
4,4,Apartment,Khilgaon,Dhaka,1800.0,45000.0,25.0
2,1,Apartment,Badda,Dhaka,600.0,12000.0,20.0
2,1,Apartment,Khulshi,Chittagong,750.0,12000.0,16.0
2,2,Apartment,Mohammadpur,Dhaka,750.0,15000.0,20.0
3,3,Apartment,Khilgaon,Dhaka,1150.0,24000.0,20.869565217391305
2,2,Apartment,other,Chittagong,900.0,17000.0,18.88888888888889
2,2,Apartment,Mirpur,Dhaka,900.0,12000.0,13.333333333333334
1,1,Apartment,Uttara,Dhaka,400.0,13200.0,33.0
3,3,Apartment,Double Mooring,Chittagong,1700.0,25000.0,14.705882352941176
2,1,Apartment,33 No. Firingee Bazaar Ward,Chittagong,800.0,12000.0,15.0
2,1,Apartment,Halishahar,Chittagong,700.0,10000.0,14.285714285714286
2,2,Apartment,Bayazid,Chittagong,1000.0,12000.0,12.0
2,2,Apartment,7 No. West Sholoshohor Ward,Chittagong,850.0,9000.0,10.588235294117647
3,3,Apartment,Uttara,Dhaka,1400.0,35000.0,25.0
3,3,Apartment,Uttara,Dhaka,1700.0,35000.0,20.58823529411765
3,3,Apartment,Badda,Dhaka,1050.0,20000.0,19.047619047619047
2,2,Apartment,33 No. Firingee Bazaar Ward,Chittagong,900.0,15000.0,16.666666666666668
3,4,Apartment,16 No. Chawk Bazaar Ward,Chittagong,2200.0,47000.0,21.363636363636363
3,3,Apartment,4 No Chandgaon Ward,Chittagong,1400.0,22000.0,15.714285714285714
2,2,Apartment,Mohammadpur,Dhaka,700.0,16000.0,22.857142857142858
2,2,Apartment,Mirpur,Dhaka,1100.0,17000.0,15.454545454545455
2,2,Apartment,,Chittagong,800.0,10000.0,12.5
3,4,Apartment,15 No. Bagmoniram Ward,Chittagong,1800.0,40000.0,22.22222222222222
3,3,Apartment,Adabor,Dhaka,1250.0,22000.0,17.6
3,3,Apartment,Mirpur,Dhaka,1300.0,17000.0,13.076923076923077
3,3,Apartment,Adabor,Dhaka,1200.0,16000.0,13.333333333333334
2,2,Apartment,Badda,Dhaka,700.0,16000.0,22.857142857142858
3,3,Apartment,Baridhara,Dhaka,2700.0,120000.0,44.44444444444444
3,3,Apartment,Baridhara,Dhaka,2700.0,120000.0,44.44444444444444
3,3,Apartment,Rampura,Dhaka,1150.0,20000.0,17.391304347826086
3,3,Apartment,Bayazid,Chittagong,1800.0,22000.0,12.222222222222221
3,3,Apartment,Aftab Nagar,Dhaka,1700.0,24000.0,14.117647058823529
2,2,Apartment,Bayazid,Chittagong,840.0,11500.0,13.69047619047619
3,3,Apartment,16 No. Chawk Bazaar Ward,Chittagong,1200.0,30000.0,25.0
2,2,Apartment,9 No. North Pahartali Ward,Chittagong,700.0,10500.0,15.0
3,3,Apartment,Double Mooring,Chittagong,1240.0,12000.0,9.67741935483871
3,3,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
2,2,Apartment,Khilkhet,Dhaka,700.0,12000.0,17.142857142857142
2,2,Apartment,Khilkhet,Dhaka,700.0,12500.0,17.857142857142858
3,3,Apartment,Sholokbahar,Chittagong,1250.0,23000.0,18.4
3,3,Apartment,Aftab Nagar,Dhaka,1275.0,22000.0,17.254901960784313
3,4,Apartment,Banani,Dhaka,2800.0,120000.0,42.857142857142854
3,3,Apartment,Mirpur,Dhaka,1288.0,18000.0,13.975155279503106
3,3,Apartment,Gulshan,Dhaka,2200.0,100000.0,45.45454545454545
3,3,Apartment,Rampura,Dhaka,1286.0,22000.0,17.107309486780714
2,2,Apartment,Mirpur,Dhaka,750.0,11000.0,14.666666666666666
3,2,Apartment,Double Mooring,Chittagong,1150.0,12000.0,10.434782608695652
3,3,Apartment,Double Mooring,Chittagong,1431.0,25500.0,17.81970649895178
3,3,Apartment,Halishahar,Chittagong,1200.0,18000.0,15.0
3,3,Apartment,Bayazid,Chittagong,1200.0,15000.0,12.5
3,3,Apartment,Double Mooring,Chittagong,1200.0,18000.0,15.0
4,4,Apartment,Mohakhali DOHS,Dhaka,2200.0,90000.0,40.90909090909091
3,4,Apartment,Shiddheswari,Dhaka,1500.0,35000.0,23.333333333333332
3,3,Apartment,Double Mooring,Chittagong,1300.0,18000.0,13.846153846153847
3,3,Apartment,Mirpur,Dhaka,1300.0,20000.0,15.384615384615385
3,4,Apartment,Gulshan,Dhaka,4200.0,170000.0,40.476190476190474
2,2,Apartment,other,Dhaka,1050.0,26000.0,24.761904761904763
2,2,Apartment,11 No. South Kattali Ward,Chittagong,800.0,11000.0,13.75
32,10,Building,Bashundhara R-A,Dhaka,18000.0,500000.0,27.77777777777778
2,2,Apartment,Mirpur,Dhaka,650.0,14000.0,21.53846153846154
3,3,Apartment,Uttara,Dhaka,1400.0,35000.0,25.0
3,3,Apartment,Khilgaon,Dhaka,1300.0,21000.0,16.153846153846153
2,2,Apartment,Uttara,Dhaka,900.0,21000.0,23.333333333333332
4,4,Apartment,Banani DOHS,Dhaka,2800.0,130000.0,46.42857142857143
2,2,Apartment,Mirpur,Dhaka,650.0,12000.0,18.46153846153846
3,3,Apartment,Mirpur,Dhaka,1050.0,15000.0,14.285714285714286
2,2,Apartment,Double Mooring,Chittagong,900.0,11000.0,12.222222222222221
2,2,Apartment,Double Mooring,Chittagong,900.0,11000.0,12.222222222222221
2,2,Apartment,4 No Chandgaon Ward,Chittagong,900.0,12000.0,13.333333333333334
2,2,Apartment,Mirpur,Dhaka,900.0,13000.0,14.444444444444445
3,3,Apartment,Uttara,Dhaka,1620.0,30000.0,18.51851851851852
2,2,Apartment,Mohammadpur,Dhaka,720.0,15000.0,20.833333333333332
3,3,Apartment,Bakalia,Chittagong,1000.0,24000.0,24.0
3,2,Apartment,30 No. East Madarbari Ward,Chittagong,1150.0,18000.0,15.652173913043478
4,5,Apartment,Khulshi,Chittagong,1700.0,35000.0,20.58823529411765
3,3,Apartment,Bayazid,Chittagong,1300.0,16000.0,12.307692307692308
3,3,Apartment,Agargaon,Dhaka,1200.0,22000.0,18.333333333333332
3,3,Apartment,Agargaon,Dhaka,1100.0,22000.0,20.0
3,3,Apartment,Khulshi,Chittagong,1600.0,24000.0,15.0
3,3,Apartment,Khilgaon,Dhaka,1275.0,27000.0,21.176470588235293
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Uttara,Dhaka,1500.0,27000.0,18.0
3,3,Apartment,Mohammadpur,Dhaka,1250.0,17000.0,13.6
2,2,Apartment,11 No. South Kattali Ward,Chittagong,700.0,10000.0,14.285714285714286
2,2,Apartment,Badda,Dhaka,800.0,17000.0,21.25
3,2,Apartment,Badda,Dhaka,1000.0,24000.0,24.0
3,3,Apartment,Turag,Dhaka,1200.0,18000.0,15.0
3,3,Apartment,Halishahar,Chittagong,1280.0,22000.0,17.1875
2,2,Apartment,Dakshin Khan,Dhaka,750.0,10500.0,14.0
3,3,Apartment,Uttara,Dhaka,1300.0,35000.0,26.923076923076923
2,2,Apartment,Double Mooring,Chittagong,1050.0,12500.0,11.904761904761905
2,2,Apartment,Double Mooring,Chittagong,1000.0,10000.0,10.0
2,2,Apartment,Nikunja,Dhaka,750.0,17000.0,22.666666666666668
3,3,Apartment,Turag,Dhaka,1215.0,20000.0,16.46090534979424
2,2,Apartment,Dakshin Khan,Dhaka,600.0,10500.0,17.5
2,1,Apartment,Double Mooring,Chittagong,900.0,10000.0,11.11111111111111
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
2,2,Apartment,Uttara,Dhaka,900.0,22000.0,24.444444444444443
3,4,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
3,4,Apartment,15 No. Bagmoniram Ward,Chittagong,2275.0,35000.0,15.384615384615385
2,2,Apartment,9 No. North Pahartali Ward,Chittagong,750.0,10500.0,14.0
2,2,Apartment,Uttara,Dhaka,850.0,18000.0,21.176470588235293
2,1,Apartment,Badda,Dhaka,600.0,18000.0,30.0
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Aftab Nagar,Dhaka,1600.0,23000.0,14.375
3,3,Apartment,Aftab Nagar,Dhaka,1600.0,23000.0,14.375
3,3,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
3,2,Apartment,Double Mooring,Chittagong,1322.0,16000.0,12.10287443267776
3,4,Apartment,Bashundhara R-A,Dhaka,1950.0,38000.0,19.487179487179485
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,Uttara,Dhaka,1400.0,35000.0,25.0
3,3,Apartment,Banani,Dhaka,2000.0,55000.0,27.5
3,2,Apartment,Bayazid,Chittagong,1100.0,12000.0,10.909090909090908
2,2,Apartment,Dakshin Khan,Dhaka,650.0,10000.0,15.384615384615385
4,4,Apartment,Agargaon,Dhaka,1750.0,30000.0,17.142857142857142
4,4,Apartment,Agargaon,Dhaka,1750.0,30000.0,17.142857142857142
2,2,Apartment,Badda,Dhaka,700.0,18000.0,25.714285714285715
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,Rampura,Dhaka,1250.0,18000.0,14.4
3,2,Apartment,Bashabo,Dhaka,1200.0,25500.0,21.25
3,3,Apartment,New Market,Dhaka,1200.0,26000.0,21.666666666666668
2,2,Apartment,Mirpur,Dhaka,800.0,12000.0,15.0
3,3,Apartment,Bakalia,Chittagong,1150.0,15000.0,13.043478260869565
3,2,Apartment,Agargaon,Dhaka,1050.0,17000.0,16.19047619047619
4,4,Apartment,Agargaon,Dhaka,1750.0,30000.0,17.142857142857142
3,2,Apartment,Khilgaon,Dhaka,1050.0,25000.0,23.80952380952381
3,2,Apartment,22 No. Enayet Bazaar Ward,Chittagong,1200.0,22000.0,18.333333333333332
3,3,Apartment,Agargaon,Dhaka,1250.0,30000.0,24.0
3,3,Apartment,Bayazid,Chittagong,1460.0,19000.0,13.013698630136986
2,2,Apartment,Uttara,Dhaka,800.0,21000.0,26.25
3,3,Apartment,Uttara,Dhaka,1450.0,23000.0,15.862068965517242
2,2,Apartment,,Chittagong,700.0,10000.0,14.285714285714286
2,2,Apartment,other,Dhaka,700.0,15000.0,21.428571428571427
1,1,Apartment,other,Dhaka,500.0,10000.0,20.0
2,2,Apartment,other,Dhaka,700.0,14000.0,20.0
3,3,Apartment,Bashundhara R-A,Dhaka,1600.0,30000.0,18.75
3,4,Apartment,Uttara,Dhaka,1200.0,16000.0,13.333333333333334
2,2,Apartment,Uttara,Dhaka,900.0,23000.0,25.555555555555557
3,3,Apartment,Dakshin Khan,Dhaka,1330.0,20000.0,15.037593984962406
3,4,Apartment,Bashundhara R-A,Dhaka,1950.0,38000.0,19.487179487179485
3,3,Apartment,Bayazid,Chittagong,1350.0,20000.0,14.814814814814815
2,2,Apartment,Banasree,Dhaka,900.0,16000.0,17.77777777777778
2,2,Apartment,11 No. South Kattali Ward,Chittagong,800.0,14000.0,17.5
4,4,Apartment,Banasree,Dhaka,1700.0,32000.0,18.823529411764707
3,4,Apartment,Uttara,Dhaka,1654.0,15000.0,9.068923821039903
3,3,Apartment,Khilgaon,Dhaka,1297.0,23000.0,17.733230531996917
2,2,Apartment,Shyamoli,Dhaka,700.0,15000.0,21.428571428571427
3,3,Apartment,16 No. Chawk Bazaar Ward,Chittagong,1500.0,30000.0,20.0
3,2,Apartment,Bashabo,Dhaka,1000.0,15000.0,15.0
3,3,Apartment,Mirpur,Dhaka,1100.0,17000.0,15.454545454545455
3,3,Apartment,Mohammadpur,Dhaka,1275.0,20000.0,15.686274509803921
2,2,Apartment,Khilgaon,Dhaka,750.0,18000.0,24.0
3,3,Apartment,Uttara,Dhaka,1600.0,52000.0,32.5
2,1,Apartment,Nikunja,Dhaka,720.0,18000.0,25.0
3,3,Apartment,East Nasirabad,Chittagong,1400.0,25000.0,17.857142857142858
2,2,Apartment,Badda,Dhaka,720.0,18000.0,25.0
2,2,Apartment,Mohammadpur,Dhaka,720.0,15500.0,21.52777777777778
3,2,Apartment,Banasree,Dhaka,1100.0,18000.0,16.363636363636363
2,2,Apartment,Double Mooring,Chittagong,800.0,15000.0,18.75
3,3,Apartment,Mirpur,Dhaka,1580.0,23000.0,14.556962025316455
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,Agargaon,Dhaka,1530.0,30000.0,19.607843137254903
3,3,Apartment,9 No. North Pahartali Ward,Chittagong,1400.0,17000.0,12.142857142857142
3,3,Apartment,16 No. Chawk Bazaar Ward,Chittagong,1450.0,32000.0,22.06896551724138
3,2,Apartment,Uttara,Dhaka,950.0,25000.0,26.31578947368421
3,2,Apartment,Uttara,Dhaka,1150.0,30000.0,26.08695652173913
3,3,Apartment,Mirpur,Dhaka,950.0,14000.0,14.736842105263158
