beds,bath,type,place,city,area_sqrt,price_bdt,price_per_sqft
2,2,Apartment,Cantonment,Dhaka,750.0,13000.0,17.333333333333332
3,2,Apartment,other,Dhaka,1365.0,40000.0,29.304029304029303
3,2,Apartment,other,Dhaka,1365.0,40000.0,29.304029304029303
4,4,Apartment,Uttara,Dhaka,2400.0,75000.0,31.25
2,2,Apartment,Mohammadpur,Dhaka,800.0,16000.0,20.0
3,3,Apartment,Uttara,Dhaka,2000.0,36000.0,18.0
2,2,Apartment,Dhanmondi,Dhaka,900.0,17000.0,18.88888888888889
4,4,Apartment,Khulshi,Chittagong,2500.0,70000.0,28.0
3,3,Apartment,Baridhara,Dhaka,2300.0,75000.0,32.608695652173914
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,22000.0,17.6
3,4,Apartment,Bashundhara R-A,Dhaka,1400.0,22000.0,15.714285714285714
2,2,Apartment,Khulshi,Chittagong,900.0,20000.0,22.22222222222222
4,4,Apartment,Banani,Dhaka,2800.0,130000.0,46.42857142857143
3,3,Apartment,Mirpur,Dhaka,1600.0,20000.0,12.5
3,3,Apartment,Mirpur,Dhaka,1250.0,16000.0,12.8
3,3,Apartment,Uttara,Dhaka,1350.0,27000.0,20.0
4,3,Apartment,Bashundhara R-A,Dhaka,1500.0,26000.0,17.333333333333332
3,4,Apartment,Uttara,Dhaka,1800.0,65000.0,36.111111111111114
3,3,Apartment,Mohammadpur,Dhaka,1041.0,23000.0,22.094140249759846
3,3,Apartment,Mirpur,Dhaka,2200.0,60000.0,27.272727272727273
3,3,Apartment,Lalbagh,Dhaka,1250.0,32000.0,25.6
4,4,Apartment,Mohammadpur,Dhaka,1700.0,22000.0,12.941176470588236
4,5,Apartment,Dhanmondi,Dhaka,3200.0,100000.0,31.25
4,5,Apartment,Bashundhara R-A,Dhaka,2260.0,52000.0,23.008849557522122
3,3,Apartment,Double Mooring,Chittagong,1230.0,16000.0,13.008130081300813
3,3,Apartment,Mirpur,Dhaka,1114.0,15000.0,13.464991023339318
4,4,Apartment,Dhanmondi,Dhaka,2960.0,75000.0,25.33783783783784
3,3,Apartment,Bashundhara R-A,Dhaka,1300.0,40000.0,30.76923076923077
3,3,Apartment,Cantonment,Dhaka,1450.0,30000.0,20.689655172413794
3,4,Apartment,Uttara,Dhaka,2092.0,40000.0,19.120458891013385
3,3,Apartment,Gulshan,Dhaka,2500.0,114999.99999999999,45.99999999999999
3,3,Apartment,Mirpur,Dhaka,1150.0,16000.0,13.91304347826087
3,3,Apartment,Baridhara,Dhaka,2300.0,75000.0,32.608695652173914
3,3,Apartment,Baridhara,Dhaka,2300.0,75000.0,32.608695652173914
2,2,Apartment,Agargaon,Dhaka,800.0,16000.0,20.0
3,3,Apartment,Uttara,Dhaka,1300.0,22000.0,16.923076923076923
3,3,Apartment,Gulshan,Dhaka,2600.0,70000.0,26.923076923076923
3,4,Apartment,Khulshi,Chittagong,2100.0,30000.0,14.285714285714286
2,2,Apartment,Mohammadpur,Dhaka,600.0,15000.0,25.0
3,3,Apartment,Banasree,Dhaka,1000.0,17000.0,17.0
3,4,Apartment,Dhanmondi,Dhaka,2100.0,55000.0,26.19047619047619
3,3,Apartment,other,Dhaka,1100.0,18000.0,16.363636363636363
3,3,Apartment,Bashundhara R-A,Dhaka,2015.0,50000.0,24.81389578163772
4,3,Apartment,Mirpur,Dhaka,1400.0,22000.0,15.714285714285714
3,4,Apartment,Mirpur,Dhaka,1250.0,20000.0,16.0
3,4,Apartment,Khulshi,Chittagong,2022.0,35000.0,17.309594460929773
4,4,Apartment,Bashundhara R-A,Dhaka,2318.0,50000.0,21.570319240724764
3,2,Apartment,Agargaon,Dhaka,1000.0,18000.0,18.0
3,4,Apartment,Dhanmondi,Dhaka,1800.0,55000.0,30.555555555555557
3,3,Apartment,Mirpur,Dhaka,1175.0,17000.0,14.46808510638298
2,2,Apartment,Hazaribag,Dhaka,800.0,16000.0,20.0
4,5,Apartment,Shiddheswari,Dhaka,1700.0,50000.0,29.41176470588235
3,3,Apartment,Mirpur,Dhaka,1400.0,25000.0,17.857142857142858
3,3,Apartment,Uttara,Dhaka,2100.0,70000.0,33.333333333333336
2,2,Apartment,Nikunja,Dhaka,750.0,18000.0,24.0
3,3,Apartment,Bashundhara R-A,Dhaka,1300.0,40000.0,30.76923076923077
3,3,Apartment,Khulshi,Chittagong,1864.0,46000.0,24.678111587982833
3,3,Apartment,Adabor,Dhaka,1200.0,16000.0,13.333333333333334
2,2,Apartment,Bakalia,Chittagong,900.0,18000.0,20.0
3,3,Apartment,Mirpur,Dhaka,1300.0,20000.0,15.384615384615385
